Country,Confirmed,Deaths,Recovered,ControlEfficiency,Code,Group
Iraq,201050,6353,143393,22.57091138,IRQ,CE
Sierra Leone,1980,69,1545,22.39130435,SLE,CE
Germany,233861,9272,207606,22.39063848,DEU,CE
Nicaragua,4311,133,2913,21.90225564,NIC,CE
Ethiopia,39033,662,14480,21.87311178,ETH,CE
Guatemala,67856,2580,56277,21.8127907,GTM,CE
Vietnam,1014,26,563,21.65384615,VNM,CE
Poland,61181,1951,41661,21.35366479,POL,CE
Bosnia and Herzegovina,17715,532,11329,21.29511278,BIH,CE
Finland,7906,334,7100,21.25748503,FIN,CE
Congo (Brazzaville),3850,77,1625,21.1038961,COG,CE
Tunisia,2738,68,1434,21.08823529,TUN,CE
Colombia,522138,16568,348940,21.0610816,COL,CE
Lithuania,2594,84,1766,21.02380952,LTU,CE
Algeria,41068,1424,28874,20.27668539,DZA,CE
Afghanistan,37953,1385,28016,20.22815884,AFG,CE
Bulgaria,15131,539,10282,19.07606679,BGR,CE
Burkina Faso,1297,55,1034,18.8,BFA,CE
El Salvador,24420,654,12021,18.38073394,SLV,CE
Kosovo,12168,448,8149,18.18973214,KOR,CE
Barbados,158,7,126,18,BRB,CE
North Macedonia,13458,563,10052,17.85435169,MKD,CE
Malawi,5382,168,2998,17.8452381,MWI,CE
Mainland China,84951,4634,79904,17.24298662,CHN,CE
Albania,8275,245,4184,17.07755102,ALB,CE
Switzerland,39627,2000,34100,17.05,CHE,CE
Andorra,1045,53,875,16.50943396,AND,CE
Mali,2699,125,2010,16.08,MLI,CE
Indonesia,151498,6594,105198,15.95359418,IDN,CE
Slovenia,2617,131,2079,15.87022901,SVN,CE
Lesotho,1015,30,472,15.73333333,LSO,CE
Niger,1172,69,1083,15.69565217,NER,CE
San Marino,704,42,657,15.64285714,SMR,CE
Iran,356792,20502,307702,15.00838943,IRN,CE
Ecuador,107089,6277,87889,14.00175243,ECU,CE
Peru,576067,27245,380730,13.97430721,PER,CE
Guyana,925,31,433,13.96774194,GUY,CE
Ireland,27908,1777,23364,13.14800225,IRL,CE
Trinidad and Tobago,930,13,165,12.69230769,TTO,CE
Egypt,97237,5243,65118,12.41998856,EGY,CE
Canada,126560,9117,112621,12.3528573,CAN,CE
Chad,982,76,869,11.43421053,TCD,CE
US,5667112,176353,1985484,11.25857797,USA,CE
Romania,77544,3233,35079,10.85029384,ROU,CE
Liberia,1286,82,816,9.951219512,LBR,CE
Bolivia,108427,4442,43887,9.880009005,BOL,CE
Tanzania,509,21,183,8.714285714,TZA,CE
Angola,2134,94,814,8.659574468,AGO,CE
Bahamas,1703,27,221,8.185185185,BHS,CE
Western Sahara,10,1,8,8,ESH,CE
Sudan,12682,815,6492,7.965644172,SDN,CE
Mexico,556216,60254,453104,7.519899094,MEX,CE
Belize,668,6,44,7.333333333,BLZ,CE
Hungary,5133,611,3692,6.042553191,HUN,CE
Italy,258136,35430,205203,5.791786622,ITA,CE
Libya,10437,188,1085,5.771276596,LBY,CE
Syria,2143,85,490,5.764705882,SYR,CE
Greece,8381,240,1347,5.6125,GRC,CE
Gambia,2437,84,455,5.416666667,GMB,CE
Spain,386054,28838,150376,5.214508634,ESP,CE
Honduras,53983,1643,8449,5.142422398,HND,CE
France,275562,30517,85102,2.788675165,FRA,CE
Yemen,1907,546,1066,1.952380952,YEM,CE
Belgium,81468,9988,18204,1.822587105,BEL,CE
Netherlands,68051,6225,633,0.101686747,NLD,CE
UK,326595,41509,1547,0.037269026,GBR,CE
MS Zaandam,9,2,0,0,,CE
Serbia,30548,695,0,0,SRB,CE
Sweden,86068,5810,0,0,SWE,CE
