Country/Region,Confirmed,Deaths,Recovered,code
Uruguay,1521,42,1264,URY
US,5667112,176353,1985484,USA
Uzbekistan,38532,267,34576,UZB
Venezuela,38957,323,28453,VEN
Vietnam,1014,26,563,VNM
West Bank and Gaza,18476,125,11103,PSE
Western Sahara,10,1,8,ESH
Yemen,1907,546,1066,YEM
Zambia,10831,279,9942,ZMB
Zimbabwe,5893,153,4629,ZWE
